Tahun;Minyak_Mentah_Ekspor;Hasil_Minyak_Ekspor;Gas_Ekspor
1996;38254.9;10689.3;29343.6
1997;38976.5;10220.8;29015.6
1998;36914;8435.9;28953.5
1999;35902.5;7825.4;30066.3
2000;29225.9;8786.6;27615.2
2001;32857;7007.8;25235.6
2002;29054.4;7574;27617.7
2003;26517.5;7425;27613.7
2004;23467.8;6800.4;26594.3
2005;21488;5994;24445.4
2006;18127.9;7046.9;23116.7
2007;18175.3;6264.8;21270.8
2008;18235;5724;20841.9
2009;17967.1;5405.7;22700.1
2010;18132.4;7322.8;30469.9
2011;17819.5;6931.5;34302.9
2012;14973.1;5629.5;27843.3
2013;13016.9;5914.5;25110.4
2014;12400;5556.9;23786.2
2015;15554.1;4625.8;24784.8
2016;16955.5;2868.1;23505.2
2017;13570.7;4059.4;24874.9
2018;10214.5;3122.1;23719
2019;3576.7;3810.8;19140.7
2020;4395.6;4819.7;18282.6
2021;6016.7;3712.7;17160.8
